Source,Date,Text,Sentiment,Score,Confidence,Type
Yahoo,2024-10-30,"76-77 is like a force field in front of ON. ON touches it, and is repelled. Been that way for over 6 months.",Neutral,0,0.9994682669639587,Main
Yahoo,2024-10-30,see what happened to smci this morn. That is what will happen to ON one day soon when china gives them the boot!,Neutral,0,0.9999516010284424,Main
Yahoo,2024-10-30,Zero analyst questions about the political implications of ON biz in China after the 100% tariff by the biden adm- on EVs! ON 35% of total biz is in China! It will go poof like a pile of baby powder in a wind storm!,Negative,-1,0.996727705001831,Main
Yahoo,2024-10-30,No way ON will have China biz. It will go to STM or chinese firms. EU tariffs are much lower than the 100% by america so ON is OUT!,Neutral,0,0.9950020909309387,Main
Yahoo,2024-10-30,"bye-bayoubrainhemorrhage-starlard maybe you should go short hack QRVO, how&#39;d you miss that one if you&#39;re so smart?",Neutral,0,0.9986248016357422,Main
Yahoo,2024-10-29,"120 k more today !
Dr BBL",Neutral,0,0.9999698400497437,Main
Yahoo,2024-10-29,"ON selling less product at a lower asp! That&#39;s why CEO syas it&#39;s essential to find efficiencies! ON is a commodity semi producer and the commodity king, China, is entering the market! ON heading sub $35",Neutral,0,0.9920170307159424,Main
Yahoo,2024-10-28,"Hey bayoubrainhemorrhage-starlard

Why have TXN revs and earnings corrected more than ON? Why is TXN forecasting 4Q down from 3Q (as much as 10%) but ON is guiding for modest q/q increase? Why do you ignore DELL and most other companies non-GAAP adjustments?

Because you’re a predatory deceitful point of sale Until Next Tuesday, Ciao.",Neutral,0,0.9771209955215454,Main
Yahoo,2024-10-28,Margins collapsing even though expenses are down. Commodity producer!!!,Negative,-1,0.9394009113311768,Main
Yahoo,2024-10-28,"Zacks, after reviewing the numbers says ON is a SELL!",Negative,-1,0.998771607875824,Main
Yahoo,2024-10-28,On gave up it&#39;s gains.Google will rock you tomorrow am.,Neutral,0,0.9999232292175293,Main
Yahoo,2024-10-28,"ON is an easy to manuf semi commodity company. China, the commodity giant, is ramping its sic substrate and semi production as I type.",Neutral,0,0.9992497563362122,Main
Yahoo,2024-10-28,As I said dump this sac on any pop. Continued contraction in all segments and lower earnings! And it will be an epic beat-down as China gives ON the boot!,Negative,-1,0.9999505281448364,Main
